log_mass_to_light_ratio,log_Omega,log_prob
0.25714287,1.3141253,-107618.2
0.28163266,1.3141253,-126173.766
0.30612245,1.3141253,-147032.58
0.33061224,1.3141253,-169474.4
0.35510203,1.3141253,-193436.88
0.37959182,1.3141253,-219325.28
0.40408164,1.3141253,-248002.4
0.42857143,1.3141253,-278390.12
0.45306122,1.3141253,-310052.8
0.477551,1.3141253,-343915.47
0.5020408,1.3141253,-378539.6
0.5265306,1.3141253,-416551.12
0.5510204,1.3141253,-456538.25
0.5755102,1.3141253,-498143.88
0.6,1.3141253,-541779.4
-0.6,1.3309932,-23406.219
-0.5755102,1.3309932,-22289.852
-0.5510204,1.3309932,-21227.54
-0.5265306,1.3309932,-20254.96
-0.5020408,1.3309932,-19287.12
-0.477551,1.3309932,-18185.914
-0.45306122,1.3309932,-17204.637
-0.42857143,1.3309932,-16204.72
-0.40408164,1.3309932,-15259.291
-0.37959182,1.3309932,-14275.838
-0.35510203,1.3309932,-13315.143
-0.33061224,1.3309932,-12371.808
-0.30612245,1.3309932,-11451.858
-0.28163266,1.3309932,-10612.309
-0.25714287,1.3309932,-9796.6
-0.23265307,1.3309932,-9057.279
-0.20816326,1.3309932,-8385.561
-0.18367347,1.3309932,-7849.871
-0.15918367,1.3309932,-7558.304
-0.13469388,1.3309932,-7514.5586
-0.11020408,1.3309932,-7805.095
-0.08571429,1.3309932,-8345.921
-0.06122449,1.3309932,-9213.49
-0.036734693,1.3309932,-10577.758
-0.012244898,1.3309932,-12454.934
0.012244898,1.3309932,-14847.305
0.036734693,1.3309932,-18056.133
0.06122449,1.3309932,-22144.293
0.08571429,1.3309932,-27060.562
0.11020408,1.3309932,-33308.63
0.13469388,1.3309932,-41154.098
0.15918367,1.3309932,-50734.926
0.18367347,1.3309932,-62076.973
0.20816326,1.3309932,-75353.18
0.23265307,1.3309932,-89943.836
0.25714287,1.3309932,-106767.266
0.28163266,1.3309932,-125427.57
0.30612245,1.3309932,-146106.2
0.33061224,1.3309932,-168937.86
0.35510203,1.3309932,-193322.14
0.37959182,1.3309932,-219601.0
0.40408164,1.3309932,-246825.2
0.42857143,1.3309932,-275341.88
0.45306122,1.3309932,-307505.88
0.477551,1.3309932,-341946.8
0.5020408,1.3309932,-377396.1
0.5265306,1.3309932,-413190.53
0.5510204,1.3309932,-453160.3
0.5755102,1.3309932,-494487.78
0.6,1.3309932,-536843.0
-0.6,1.3472304,-23480.04
-0.5755102,1.3472304,-22632.66
-0.5510204,1.3472304,-21583.01
-0.5265306,1.3472304,-20552.14
-0.5020408,1.3472304,-19535.244
-0.477551,1.3472304,-18509.014
-0.45306122,1.3472304,-17536.336
-0.42857143,1.3472304,-16531.08
-0.40408164,1.3472304,-15501.801
-0.37959182,1.3472304,-14496.627
-0.35510203,1.3472304,-13496.791
